dgp,n_train,n_est,n_imp,n_unimp,k,query_seed,sample_seed,seed
lihua_corr_homo,10000,1000,2,10,31,100,42069,1302
lihua_corr_homo,10000,1000,2,10,31,100,42069,1344
lihua_corr_homo,10000,1000,2,10,31,100,42069,1386
lihua_corr_homo,10000,1000,2,10,31,100,42069,1428
lihua_corr_homo,10000,1000,2,10,31,100,42069,1470
lihua_corr_homo,10000,1000,2,10,31,100,42069,1512
lihua_corr_homo,10000,1000,2,10,31,100,42069,1554
lihua_corr_homo,10000,1000,2,10,31,100,42069,1596
lihua_corr_homo,10000,1000,2,10,31,100,42069,1638
lihua_corr_homo,10000,1000,2,10,31,100,42069,1680
lihua_corr_homo,10000,1000,2,10,31,100,42069,1722
lihua_corr_homo,10000,1000,2,10,31,100,42069,1764
lihua_corr_homo,10000,1000,2,10,31,100,42069,1806
lihua_corr_homo,10000,1000,2,10,31,100,42069,1848
lihua_corr_homo,10000,1000,2,10,31,100,42069,1890
lihua_corr_homo,10000,1000,2,10,31,100,42069,1932
lihua_corr_homo,10000,1000,2,10,31,100,42069,1974
lihua_corr_homo,10000,1000,2,10,31,100,42069,2016
lihua_corr_homo,10000,1000,2,10,31,100,42069,2058
lihua_corr_homo,10000,1000,2,10,31,100,42069,2100
lihua_corr_homo,10000,1000,2,10,31,100,42069,2142
lihua_corr_homo,10000,1000,2,10,31,100,42069,2184
lihua_corr_homo,10000,1000,2,10,31,100,42069,2226
lihua_corr_homo,10000,1000,2,10,31,100,42069,2268
lihua_corr_homo,10000,1000,2,10,31,100,42069,2310
lihua_corr_homo,10000,1000,2,10,31,100,42069,2352
lihua_corr_homo,10000,1000,2,10,31,100,42069,2394
lihua_corr_homo,10000,1000,2,10,31,100,42069,2436
lihua_corr_homo,10000,1000,2,10,31,100,42069,2478
lihua_corr_homo,10000,1000,2,10,31,100,42069,2520
lihua_corr_homo,10000,1000,2,10,31,100,42069,2562
lihua_corr_homo,10000,1000,2,10,31,100,42069,2604
lihua_corr_homo,10000,1000,2,10,31,100,42069,2646
lihua_corr_homo,10000,1000,2,10,31,100,42069,2688
lihua_corr_homo,10000,1000,2,10,31,100,42069,2730
lihua_corr_homo,10000,1000,2,10,31,100,42069,2772
lihua_corr_homo,10000,1000,2,10,31,100,42069,2814
lihua_corr_homo,10000,1000,2,10,31,100,42069,2856
lihua_corr_homo,10000,1000,2,10,31,100,42069,2898
lihua_corr_homo,10000,1000,2,10,31,100,42069,2940
lihua_corr_homo,10000,1000,2,10,31,100,42069,2982
lihua_corr_homo,10000,1000,2,10,31,100,42069,3024
lihua_corr_homo,10000,1000,2,10,31,100,42069,3066
lihua_corr_homo,10000,1000,2,10,31,100,42069,3108
lihua_corr_homo,10000,1000,2,10,31,100,42069,3150
lihua_corr_homo,10000,1000,2,10,31,100,42069,3192
lihua_corr_homo,10000,1000,2,10,31,100,42069,3234
lihua_corr_homo,10000,1000,2,10,31,100,42069,3276
lihua_corr_homo,10000,1000,2,10,31,100,42069,3318
lihua_corr_homo,10000,1000,2,10,31,100,42069,3360
lihua_corr_homo,10000,1000,2,10,31,100,42069,3402
lihua_corr_homo,10000,1000,2,10,31,100,42069,3444
lihua_corr_homo,10000,1000,2,10,31,100,42069,3486
lihua_corr_homo,10000,1000,2,10,31,100,42069,3528
lihua_corr_homo,10000,1000,2,10,31,100,42069,3570
lihua_corr_homo,10000,1000,2,10,31,100,42069,3612
lihua_corr_homo,10000,1000,2,10,31,100,42069,3654
lihua_corr_homo,10000,1000,2,10,31,100,42069,3696
lihua_corr_homo,10000,1000,2,10,31,100,42069,3738
lihua_corr_homo,10000,1000,2,10,31,100,42069,3780
lihua_corr_homo,10000,1000,2,10,31,100,42069,3822
lihua_corr_homo,10000,1000,2,10,31,100,42069,3864
lihua_corr_homo,10000,1000,2,10,31,100,42069,3906
lihua_corr_homo,10000,1000,2,10,31,100,42069,3948
lihua_corr_homo,10000,1000,2,10,31,100,42069,3990
lihua_corr_homo,10000,1000,2,10,31,100,42069,4032
lihua_corr_homo,10000,1000,2,10,31,100,42069,4074
